tree_id,name,source_prefab_name,source_prefab_index,source_prefab_path,x,y,z,rotation_y,scale_x,scale_y,scale_z,height,radius,bbox_size_x,bbox_size_y,bbox_size_z,renderer_count,collider_count
331,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,497.5134,99.8281,140.9125,331.3025,1.0000,1.0000,1.0000,20.4645,13.6447,26.3601,20.4645,27.2894,1,1
332,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,39.4299,111.7993,311.1848,104.4323,1.0000,1.0000,1.0000,23.5764,11.2831,22.5662,23.5764,22.0173,1,1
333,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,353.8726,121.8451,441.5305,36.3615,1.0000,1.0000,1.0000,22.8586,12.1727,24.3455,22.8586,23.7386,1,1
334,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,131.7990,125.4600,175.3930,213.9413,1.0000,1.0000,1.0000,22.4601,12.7977,25.5953,22.4601,24.2703,1,1
335,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,769.6318,103.8486,966.1024,34.1060,1.0000,1.0000,1.0000,22.8586,12.1307,24.2615,22.8586,23.4979,1,1
336,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,606.1923,115.8938,888.3093,156.5878,1.0000,1.0000,1.0000,23.5764,12.1361,23.8750,23.5764,24.2722,1,1
337,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,148.3208,103.2020,285.0569,293.5671,1.0000,1.0000,1.0000,20.4645,13.3103,26.6205,20.4645,25.4108,1,1
338,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,777.1973,149.9572,863.9094,265.9839,1.0000,1.0000,1.0000,23.5764,9.9489,19.8979,23.5764,19.1900,1,1
339,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,403.9421,104.1255,668.0961,75.0584,1.0000,1.0000,1.0000,20.4645,12.5094,25.0189,20.4645,23.3607,1,1
340,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,709.2801,144.2225,458.4933,188.2617,1.0000,1.0000,1.0000,20.4645,11.6937,21.4071,20.4645,23.3873,1,1
341,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,960.5177,108.6128,507.3869,286.4196,1.0000,1.0000,1.0000,22.8586,11.1606,20.3883,22.8586,22.3211,1,1
342,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,602.6486,130.6179,811.2397,323.5902,1.0000,1.0000,1.0000,22.4601,12.8177,25.6354,22.4601,24.6037,1,1
343,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,597.7612,122.4211,929.8391,262.8685,1.0000,1.0000,1.0000,23.5764,10.3846,20.7691,23.5764,20.1066,1,1
344,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,325.5802,117.1860,284.4358,263.4361,1.0000,1.0000,1.0000,22.4601,11.0232,17.7524,22.4601,22.0465,1,1
345,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,592.3880,104.3735,107.9699,58.4219,1.0000,1.0000,1.0000,22.8586,12.0613,23.1848,22.8586,24.1227,1,1
346,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,396.5316,123.4307,162.4434,158.9478,1.0000,1.0000,1.0000,20.4645,13.1072,24.8706,20.4645,26.2144,1,1
347,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,713.8773,123.6534,260.7284,250.2125,1.0000,1.0000,1.0000,20.4645,12.9955,25.9910,20.4645,24.5808,1,1
348,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,462.6596,154.2622,533.7910,121.4798,1.0000,1.0000,1.0000,20.4645,13.7804,27.5609,20.4645,26.7869,1,1
349,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,245.5267,116.3797,964.7375,38.5182,1.0000,1.0000,1.0000,20.4645,13.9783,27.5829,20.4645,27.9566,1,1
350,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,879.4143,123.4276,901.1223,342.6411,1.0000,1.0000,1.0000,20.4645,12.7633,23.9908,20.4645,25.5266,1,1
351,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,314.9658,136.8157,223.3305,81.9225,1.0000,1.0000,1.0000,23.5764,10.5108,21.0216,23.5764,20.3732,1,1
352,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,632.6604,138.9675,451.3401,275.9360,1.0000,1.0000,1.0000,22.4601,10.9509,17.5486,22.4601,21.9017,1,1
