sender_id,receiver_id,distance_m,delivery_cnt,pdr,100pct,any_del
2,8,757.854,226,0.75333,False,True
2,9,436.123,295,0.98333,False,True
2,10,290.397,299,0.99667,False,True
2,11,338.566,299,0.99667,False,True
2,12,516.088,291,0.97,False,True
2,13,643.768,261,0.87,False,True
2,14,769.193,212,0.70667,False,True
2,15,279.44,300,1.0,True,True
2,16,339.833,299,0.99667,False,True
2,17,557.803,284,0.94667,False,True
2,18,237.562,299,0.99667,False,True
2,19,191.516,300,1.0,True,True
2,20,745.518,214,0.71333,False,True
2,21,684.325,243,0.81,False,True
2,22,561.425,277,0.92333,False,True
2,23,127.503,300,1.0,True,True
2,24,134.477,300,1.0,True,True
2,25,696.237,237,0.79,False,True
2,26,247.0,300,1.0,True,True
2,27,336.648,300,1.0,True,True
2,28,409.624,296,0.98667,False,True
2,29,581.169,275,0.91667,False,True
2,30,487.797,296,0.98667,False,True
2,31,368.275,300,1.0,True,True
2,32,729.45,234,0.78,False,True
2,33,638.623,264,0.88,False,True
2,34,655.47,251,0.83667,False,True
2,35,111.919,300,1.0,True,True
2,36,794.479,202,0.67333,False,True
2,37,249.269,300,1.0,True,True
2,38,780.533,218,0.72667,False,True
2,39,313.759,300,1.0,True,True
2,40,142.474,300,1.0,True,True
2,41,523.548,291,0.97,False,True
2,42,507.643,288,0.96,False,True
2,43,424.276,299,0.99667,False,True
2,44,540.004,282,0.94,False,True
2,45,628.631,262,0.87333,False,True
2,46,367.618,297,0.99,False,True
2,47,874.298,150,0.5,False,True
2,48,305.21,300,1.0,True,True
2,49,598.157,278,0.92667,False,True
2,50,705.864,230,0.76667,False,True
2,51,855.918,172,0.57333,False,True
2,52,767.419,223,0.74333,False,True
2,53,256.299,300,1.0,True,True
2,54,833.484,183,0.61,False,True
2,55,206.331,300,1.0,True,True
2,56,720.008,220,0.73333,False,True
2,57,294.616,299,0.99667,False,True
2,58,251.332,300,1.0,True,True
2,59,502.856,286,0.95333,False,True
2,60,870.899,154,0.51333,False,True
2,61,828.431,186,0.62,False,True
2,62,659.257,253,0.84333,False,True
2,63,770.459,212,0.70667,False,True
2,64,740.572,214,0.71333,False,True
2,65,343.631,300,1.0,True,True
2,66,412.74,297,0.99,False,True
2,67,645.734,256,0.85333,False,True
2,68,657.953,254,0.84667,False,True
2,69,728.508,238,0.79333,False,True
2,70,191.616,300,1.0,True,True
2,71,793.599,205,0.68333,False,True
2,72,627.089,264,0.88,False,True
2,73,337.203,298,0.99333,False,True
