Time(ms),Voltage(V),Current(mA),Power(mW),Mode
4310,5.04,100.30,505.51,7
4323,5.04,97.90,493.81,7
4335,5.04,100.30,505.91,7
4347,5.03,100.50,505.72,7
4360,5.04,101.90,513.17,7
4372,5.04,96.50,486.36,7
4385,5.03,101.50,510.75,7
4397,5.04,100.50,506.52,7
4409,5.04,100.30,505.11,7
4422,5.04,96.50,486.36,7
4434,5.04,100.70,507.93,7
4447,5.04,100.50,506.12,7
4459,5.04,101.40,511.06,7
4471,5.04,95.50,481.70,7
4484,5.04,101.80,512.66,7
4496,5.04,102.70,517.20,7
4508,5.04,101.30,510.15,7
4521,5.04,95.50,481.32,7
4533,5.04,100.50,506.12,7
4546,5.04,100.80,508.03,7
4558,5.04,101.60,511.66,7
4570,5.05,95.90,484.10,7
4583,5.04,100.70,507.53,7
4595,5.04,100.70,507.53,7
4608,5.04,95.80,482.83,7
4620,5.05,95.50,482.08,7
4632,5.04,100.60,507.02,7
4645,5.04,100.60,507.02,7
4657,5.04,99.60,501.59,7
4669,5.04,99.00,499.36,7
4682,5.04,100.40,506.02,7
4694,5.04,100.90,508.13,7
4706,5.04,98.80,497.95,7
4719,5.04,97.00,489.27,7
4731,5.04,100.10,504.10,7
4743,5.04,100.30,505.51,7
4756,5.04,95.60,482.21,7
4768,5.04,99.10,499.86,7
4781,5.04,100.90,508.54,7
4793,5.04,100.30,505.51,7
4805,5.04,95.50,481.70,7
4818,5.04,101.60,511.66,7
4830,5.04,101.40,510.65,7
4842,5.04,100.50,506.12,7
4855,5.04,95.90,483.72,7
4867,5.04,100.40,506.02,7
4880,5.04,100.40,506.02,7
4892,5.04,100.80,508.03,7
4904,5.04,96.70,487.75,7
4917,5.04,100.10,504.50,7
4929,5.04,100.00,503.60,7
4942,5.04,100.50,506.12,7
4954,5.04,95.80,483.22,7
4966,5.04,101.70,512.57,7
4979,5.04,100.80,508.03,7
4991,5.04,100.40,506.02,7
5004,5.04,95.60,482.21,7
5016,5.04,100.40,506.02,7
5028,5.04,100.30,505.11,7
5041,5.04,96.30,485.35,7
5053,5.04,95.70,482.71,7
5065,5.04,100.80,507.63,7
5078,5.04,101.90,513.58,7
5090,5.04,100.80,507.63,7
5103,5.04,98.80,497.95,7
5115,5.04,101.70,512.57,7
5127,5.04,100.40,505.61,7
5140,5.04,95.60,481.44,7
5152,5.04,95.30,480.69,7
5164,5.04,99.70,502.49,7
5177,5.04,101.60,511.66,7
5189,5.04,95.90,483.72,7
5201,5.04,99.40,501.37,7
5214,5.04,101.20,509.64,7
5226,5.04,100.50,506.52,7
5239,5.04,96.50,486.36,7
5251,5.04,100.30,505.51,7
5263,5.04,100.50,506.12,7
5276,5.03,104.70,526.85,7
5288,5.05,95.60,482.59,7
5300,5.04,100.80,508.03,7
5313,5.04,99.60,501.98,7
5325,5.04,100.50,506.52,7
5338,5.04,95.30,480.69,7
5350,5.04,100.70,507.53,7
5362,5.04,103.60,521.73,7
5375,5.04,102.10,514.18,7
5387,5.04,95.90,483.72,7
5400,5.03,101.90,512.35,7
5412,5.04,100.40,506.02,7
5424,5.04,101.90,513.17,7
5437,5.04,96.70,487.37,7
5449,5.04,100.60,507.02,7
5461,5.04,100.40,505.61,7
5474,5.04,95.90,482.95,7
5486,5.05,95.90,484.10,7
5499,5.04,101.60,511.66,7
5511,5.04,101.30,510.55,7
5523,5.04,100.80,508.44,7
5536,5.05,97.50,492.18,7
5548,5.04,101.30,510.15,7
5560,5.04,100.50,506.52,7
5573,5.04,95.30,480.31,7
5585,5.04,102.00,514.08,7
5598,5.04,100.40,505.61,7
5610,5.04,101.60,511.66,7
5622,5.05,93.20,470.47,7
5635,5.04,98.70,497.84,7
5647,5.04,101.30,510.55,7
5659,5.04,104.20,524.75,7
5672,5.04,95.80,483.22,7
5684,5.04,101.50,511.56,7
5697,5.04,100.30,505.51,7
5709,5.04,100.50,506.52,7
5721,5.04,95.70,482.71,7
5734,5.04,100.50,506.12,7
5746,5.04,100.90,508.54,7
5759,5.04,100.40,505.61,7
