Time(ms),Voltage(V),Current(mA),Power(mW),Mode
7450,5.17,-0.20,-1.03,1
7462,5.17,-0.30,-1.55,1
7474,5.17,-0.30,-1.55,1
7486,5.17,-0.40,-2.07,1
7498,5.17,-0.20,-1.03,1
7510,5.17,-0.10,-0.52,1
7522,5.17,-0.20,-1.03,1
7534,5.17,-0.10,-0.52,1
7546,5.17,-0.20,-1.03,1
7558,5.17,-0.40,-2.07,1
7570,5.17,-0.60,-3.10,1
7582,5.17,-0.20,-1.03,1
7594,5.17,-0.40,-2.07,1
7606,5.17,-0.30,-1.55,1
7618,5.17,-0.20,-1.03,1
7630,5.17,-0.40,-2.07,1
7642,5.17,-0.40,-2.07,1
7654,5.17,-0.10,-0.52,1
7666,5.17,-0.20,-1.03,1
7678,5.17,0.00,0.00,1
7690,5.17,-0.20,-1.03,1
7702,5.17,-0.20,-1.03,1
7714,5.17,-0.40,-2.07,1
7726,5.17,-0.20,-1.03,1
7738,5.17,-0.20,-1.03,1
7750,5.17,0.00,0.00,1
7762,5.17,-0.30,-1.55,1
7774,5.17,0.00,0.00,1
7786,5.17,-0.40,-2.07,1
7799,5.17,-0.40,-2.07,1
7811,5.17,-0.20,-1.03,1
7823,5.17,-0.50,-2.59,1
7835,5.17,-0.10,-0.52,1
7847,5.17,-0.30,-1.55,1
7859,5.17,-0.30,-1.55,1
7871,5.16,-0.20,-1.03,1
7883,5.17,-0.30,-1.55,1
7895,5.17,-0.20,-1.03,1
7907,5.17,-0.40,-2.07,1
7919,5.17,-0.40,-2.07,1
7931,5.17,-0.30,-1.55,1
7943,5.17,-0.50,-2.58,1
7955,5.17,-0.50,-2.59,1
7967,5.17,-0.10,-0.52,1
7979,5.17,-0.30,-1.55,1
7991,5.17,-0.30,-1.55,1
8003,5.17,-0.50,-2.58,1
8015,5.17,-0.10,-0.52,1
8027,5.17,-0.20,-1.03,1
8039,5.17,-0.40,-2.07,1
8051,5.17,-0.40,-2.07,1
8063,5.17,-0.30,-1.55,1
8075,5.17,-0.50,-2.59,1
8087,5.17,-0.30,-1.55,1
8099,5.17,-0.20,-1.03,1
8111,5.17,-0.60,-3.10,1
8123,5.17,0.00,0.00,1
8135,5.17,-0.30,-1.55,1
8147,5.17,-0.30,-1.55,1
8159,5.17,-0.50,-2.59,1
8171,5.17,-0.40,-2.07,1
8183,5.17,-0.40,-2.07,1
8195,5.17,-0.30,-1.55,1
8207,5.17,-0.20,-1.03,1
8219,5.17,-0.20,-1.03,1
8231,5.17,-0.30,-1.55,1
8243,5.17,-0.30,-1.55,1
8255,5.17,-0.30,-1.55,1
8267,5.17,-0.40,-2.07,1
8279,5.17,-0.40,-2.07,1
8291,5.17,-0.20,-1.03,1
8304,5.17,-0.10,-0.52,1
8316,5.17,-0.20,-1.03,1
8328,5.17,-0.30,-1.55,1
8340,5.17,-0.30,-1.55,1
8352,5.17,-0.40,-2.07,1
8364,5.17,-0.20,-1.03,1
8376,5.17,-0.50,-2.59,1
8388,5.17,-0.30,-1.55,1
