Time(ms),Voltage(V),Current(mA),Power(mW),Mode
65722,4.91,93.10,457.31,7
65734,4.92,93.30,458.66,7
65746,4.91,93.40,458.78,7
65759,4.92,93.20,458.17,7
65771,4.91,94.20,462.71,7
65783,4.91,93.20,457.80,7
65796,4.91,93.30,458.29,7
65808,4.91,93.80,460.75,7
65820,4.91,93.10,457.31,7
65833,4.91,93.90,460.86,7
65845,4.91,94.60,464.68,7
65857,4.91,93.40,458.78,7
65870,4.91,93.00,456.82,7
65882,4.91,93.40,458.78,7
65894,4.91,94.00,461.73,7
65907,4.91,93.10,457.31,7
65919,4.92,93.20,458.17,7
65931,4.91,94.40,463.32,7
65944,4.91,93.50,458.90,7
65956,4.91,92.90,456.32,7
65968,4.91,96.40,473.52,7
65981,4.91,93.20,457.80,7
65993,4.91,93.80,460.75,7
66005,4.91,93.30,458.29,7
66018,4.91,93.00,456.82,7
66030,4.91,93.40,458.78,7
66042,4.91,94.10,462.22,7
66055,4.92,93.30,458.66,7
66067,4.91,94.60,464.68,7
66079,4.91,93.70,460.25,7
66092,4.90,93.10,456.19,7
66104,4.91,93.40,458.78,7
66116,4.91,92.80,455.83,7
66129,4.92,93.40,459.15,7
66141,4.91,93.10,457.31,7
66153,4.91,94.10,462.22,7
66166,4.91,93.80,460.75,7
66178,4.91,93.80,460.75,7
66190,4.91,93.50,459.27,7
66203,4.91,93.10,457.31,7
66215,4.91,93.20,457.80,7
66227,4.92,93.00,457.19,7
66241,4.91,94.10,462.22,7
66253,4.91,94.20,462.71,7
66265,4.91,93.60,459.76,7
66278,4.91,93.30,458.29,7
66290,4.91,93.60,459.76,7
66302,4.91,93.50,459.27,7
66315,4.91,93.10,457.31,7
66327,4.91,93.50,459.27,7
66339,4.91,93.20,457.80,7
66352,4.91,93.10,457.31,7
66364,4.91,93.10,457.31,7
66376,4.91,94.60,464.68,7
66389,4.91,93.50,459.27,7
66401,4.91,93.00,456.82,7
66413,4.91,93.00,456.82,7
66426,4.91,93.80,460.75,7
66438,4.91,93.80,460.75,7
66450,4.92,93.40,459.15,7
66463,4.91,93.10,457.31,7
66475,4.91,93.10,456.93,7
66487,4.90,95.60,468.82,7
66500,4.91,93.00,456.82,7
66512,4.91,93.40,458.78,7
66524,4.91,93.30,458.29,7
66537,4.91,93.10,457.31,7
66549,4.91,95.20,467.24,7
66561,4.91,94.20,462.71,7
66574,4.91,93.40,458.78,7
66586,4.91,93.40,458.78,7
66598,4.91,94.60,464.68,7
66611,4.91,93.20,457.80,7
66623,4.92,93.30,458.66,7
66635,4.91,93.30,458.29,7
66648,4.91,94.20,462.71,7
66660,4.91,93.10,457.31,7
66672,4.91,93.90,461.24,7
66685,4.91,93.20,457.43,7
66697,4.91,94.20,462.71,7
66709,4.91,93.20,457.43,7
66722,4.91,93.30,458.29,7
66734,4.92,93.10,457.68,7
66746,4.91,93.50,459.27,7
66759,4.91,93.10,457.31,7
66771,4.92,93.30,458.66,7
66783,4.91,94.00,461.73,7
66796,4.91,92.90,456.32,7
66808,4.91,93.60,459.76,7
66820,4.91,93.10,457.31,7
66833,4.92,93.30,458.66,7
66845,4.91,93.30,458.29,7
66857,4.91,94.10,461.84,7
66870,4.91,94.30,463.20,7
66882,4.91,93.30,458.29,7
66894,4.91,95.90,470.68,7
66907,4.92,93.10,457.68,7
66919,4.91,93.00,456.82,7
66931,4.91,94.20,462.71,7
66944,4.90,94.00,460.98,7
66956,4.91,94.10,462.22,7
